"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","euch_dist","cos_similarity","spearman","y"
"23",0.00282485875706215,0.0279563608026495,0.0677966101694915,0.00876680303915839,0.0138320670173388,0.0141242937853107,0.00311708552503409,0.0025326319890902,0.0194817845314631,0.00564971751412429,0.0407169296707578,0.0407169296707578,0.0291252678745373,0.00564971751412429,0.0449055133450224,0.00506526397818041,0.00564971751412429,0.0460744204169102,0.023475550360413,0.00564971751412429,0.0025326319890902,0.0291252678745373,0.00282485875706215,0.00282485875706215,0.00311708552503409,0.00594194428209624,0.0338983050847458,0.00876680303915839,0.000876680303915835,0.00564971751412429,0.0081823495032145,0.13062536528346,0.00847457627118644,0.0075978959672706,0.0223066432885252,0,0.0135398402493668,0.00876680303915839,0.0194817845314631,0.0307812195597117,0.191769844321051,0.71650060837968,0.565026919822759,"s"
"24",0.0335387776065742,0.00883410374935799,0.013251155624037,0.00847457627118644,0.0416538263995891,0.0141242937853107,0.00405752439650745,0.019774011299435,0.0360041088854648,0.00564971751412429,0.0100667693888033,0.0444786851566513,0.0319465844889574,0.00564971751412429,0.0439650744735491,0.0213662044170519,0.00564971751412429,0.00564971751412429,0.0100667693888033,0.00564971751412429,0.019774011299435,0.0137647663071392,0.00282485875706215,0.00282485875706215,0.00405752439650745,0.0112994350282486,0.0157164869029276,0.00970724191063174,0.0036979969183359,0.00564971751412429,0.00724191063174114,0.123728813559322,0.00847457627118644,0.0229583975346687,0.0031843862352337,0,0.0298407806882383,0.00970724191063174,0.000359527478171549,0.0480225988700565,0.176714441440019,0.769671651462327,0.663484154687283,"s"
"25",0.00777584795671877,0.00632848216246432,0.00287476792238127,0.00212613044259448,0.00779581162284642,0.0105907248807171,0.00705715597612346,0.00496097103272045,0.0092132319179094,0.00564971751412429,0.0247150186660278,0.00708710147531493,0.0119981633427163,0.00211614860953065,0.0303447725140245,0.0134555109700345,0.00211614860953065,0.00141742029506299,0.00355353257072128,0.0155516959134375,0.00563973568106047,0.00139745662893534,0.00282485875706215,0.00282485875706215,0.00352358707152981,0.00423229721906131,0.00916332275259029,0.0233275438701563,0.00491106186740133,0.00211614860953065,0.00284482242318979,0.0368030185063185,0.00919326825178176,0.0275199137569623,0.000678764648340026,0.00353356890459364,0.0268211854424947,0.0233275438701563,0.00567966301331577,0.0120480725080354,0.0839338220131733,0.919983066327102,0.809681626040024,"s"
"26",0.00444786851566513,0.0161068310220853,0.00961479198767334,0.00120184899845917,0.0198356445814073,0.0104879301489471,0.000421160760143811,0.020225988700565,0.000359527478171549,0.00564971751412429,0.0173394966615306,0.0408423215202876,0.0137647663071392,0.00564971751412429,0.0330559835644581,0.0222701592193118,0.00564971751412429,0.00162300975860298,0.0153877760657422,0.00564971751412429,0.00522855675398048,0.00441705187467899,0.00282485875706215,0.00282485875706215,0.0149666153055984,0.000390344119157678,0.0193528505392912,0.00120184899845917,0.00357473035439138,0.00162300975860298,0.0108782742681048,0.0400924499229584,0.0048382126348228,0.00249614791987673,0.0359116589625064,0.0109090909090909,0.00288649203903441,0.016979969183359,0.00327683615819209,0.0298407806882383,0.102177155254173,0.889354333135933,0.781214930974056,"s"
"27",0.0124423168154569,0.018480182861086,0.0161728554793634,0.00847457627118644,0.000539095182645451,0.010307499892181,0.00877646957346789,0.0031267520593436,0.0176391943761591,0.00183292362099452,0.0167982058912322,0.0404537025057144,0.0187820761633674,0.00198387027213525,0.01634536593781,0.0367878552637254,0.00564971751412429,0.00198387027213525,0.00610255746754647,0.00183292362099452,0.0121404235131755,0.0117522749816708,0.000991935136067624,0.00282485875706215,0.00649070599905119,0.00778453443740027,0.0186311295122267,0.00679259930133264,0.00640445076982792,0.00564971751412429,0.00633975934791047,0.0611333937119938,0.00847457627118644,0.00588691939448829,0.0280976409194807,0,0.00603786604562902,0.00297580540820287,0.0014447750894898,0.00985465993875879,0.104839141812355,0.899721578243541,0.825998976222352,"s"
"31",0.0280533870561571,0.0316796776630572,0.0439687736086628,0.00277008310249307,0.0157642911105515,0.012641651976832,0.00987156887433896,0.00156131956685973,0.0240745404180307,0.00277008310249307,0.0394862754973558,0.0284059430873835,0.0477965248048351,0.00277008310249307,0.00191387559808612,0.00795769327625283,0.012641651976832,0.0154117350793251,0.0114328884411987,0.00277008310249307,0.0221606648199446,0.00589272223621254,0.00554016620498615,0.00277008310249307,0.00831024930747922,0.00277008310249307,0.0138504155124654,0.00277008310249307,0.0399899269705364,0.00831024930747922,0.03601108033241,0.0176781667086376,0.00831024930747922,0.0372198438680433,0.000352556031226386,0.0154117350793251,0.00468395870057919,0.0197431377486779,0.0178292621505918,0.0122890959456056,0.129532207071918,0.830735893200081,0.657553607699897,"s"
"32",0.00831024930747922,0.0326201165345305,0.0803324099722992,0.0144712962078518,0.0215397841245582,0.00554016620498615,0.0089311300028656,0.000620880695386378,0.013229534817079,0.00277008310249307,0.0357245200114624,0.0246441876014901,0.0267933900085968,0.00277008310249307,0.0353901996370236,0.00983857101919954,0.00554016620498615,0.0489540548285414,0.0267933900085968,0.00277008310249307,0.00491928550959977,0.0212532238036107,0.00554016620498615,0.00277008310249307,0.0089311300028656,0.0144712962078518,0.0138504155124654,0.0144712962078518,0.00644760722132009,0.00831024930747922,0.0187697010220651,0.115483809341866,0.00831024930747922,0.00367752411882701,0.0187697010220651,0.00277008310249307,0.0153787372241857,0.000620880695386378,0.0187697010220651,0.013229534817079,0.178536879563937,0.760276521253069,0.55917532242676,"s"
"33",0.0280533870561571,0.013497859481239,0.0257869554268446,0.00277008310249307,0.0339461092923697,0.00554016620498615,0.00987156887433896,0.0166204986149584,0.0422563585998489,0.00277008310249307,0.0150591790480987,0.0284059430873835,0.0296147066230169,0.00277008310249307,0.0344497607655502,0.026139511458071,0.00554016620498615,0.00277008310249307,0.00674892974061949,0.00277008310249307,0.0221606648199446,0.00589272223621254,0.00554016620498615,0.00277008310249307,0.00987156887433896,0.00277008310249307,0.00433140266935281,0.0154117350793251,0.00362629060690003,0.00831024930747922,0.0178292621505918,0.108587257617729,0.00831024930747922,0.0190380256862251,0.000352556031226386,0.00277008310249307,0.0316796776630572,0.00156131956685973,0.000352556031226386,0.0304709141274238,0.156085451356205,0.827231021032654,0.757311835315601,"s"
"34",0.00229045740630169,0.0109922378943453,0.00966103188042637,0.00783062361128785,8.80945156269894e-05,0.00200659730039251,0.00124311149829195,0.00811448371719703,0.0154654816322935,0.00277008310249307,0.0297074283253233,0.0089856405939528,0.0143300412086568,0.000763485802100565,0.0208294588060257,0.0086822039290154,0.00200659730039251,0.0042970547066942,0.00687137221890508,0.0184313303250688,0.00802638920157004,0.00926950069986198,0.00554016620498615,0.00277008310249307,0.00229045740630169,0.0042970547066942,0.0108845668196901,0.0290320370388497,0.0122353493926373,0.00477668040288559,0.00774252909566086,0.021661462564725,0.00935759521548897,0.0235995419085187,0.00285817761812006,0.000763485802100565,0.0286600824173135,0.0151816215263843,0.0063917465227137,0.029599757250668,0.0847612106871627,0.920898777723727,0.761543392361543,"s"
"35",0.00103752203475195,0.0207705867539663,0.022150591790481,0.0045026441702342,0.0121279274741879,0.00190380256862251,0.00623520523797532,0.0233795013850416,0.00589272223621254,0.00277008310249307,0.022331906320826,0.0247695794510199,0.0114328884411987,0.00277008310249307,0.0235406698564593,0.0174968521782926,0.00554016620498615,0.0045026441702342,0.018705615713926,0.00277008310249307,0.00761521027449005,0.0122890959456056,0.00554016620498615,0.00277008310249307,0.0207806597834299,0.00813900780659784,0.000695039032989172,0.0045026441702342,0.0108990178796273,0.00103752203475195,0.0214656257869554,0.0249508939813649,0.00467388567111559,0.00641651976832033,0.0323747166960463,0.00813900780659784,0.00104759506421556,0.00883404683958701,0.00398891966759003,0.0122890959456056,0.0873746711069863,0.920803479966581,0.813590060923038,"s"
