"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","euch_dist","cos_similarity","spearman","y"
"101",0.00133928571428571,0.0102678571428571,0.00267857142857143,0,0.046875,0.0285714285714286,0,0.00133928571428571,0.0285714285714286,0,0.046875,0.0285714285714286,0.046875,0,0.00625000000000001,0.078125,0.015625,0.00133928571428571,0.0428571428571429,0.0142857142857143,0.03125,0.0258928571428571,0,0,0,0.0183035714285714,0,0.0142857142857143,0.0129464285714286,0.0142857142857143,0.015625,0.00625000000000001,0.00133928571428571,0.0147321428571429,0.0102678571428571,0,0.00267857142857143,0.0258928571428571,0.00133928571428571,0.0571428571428571,0.157150466536543,0.828021832465038,0.357430777234599,"s"
"11",0.0161210317460317,0.0310019841269841,0.0153769841269841,0,0.046875,0,0,0.015625,0.0158730158730159,0,0.0166170634920635,0.0317460317460317,0.0310019841269841,0,0.0620039682539683,0.0463789682539683,0.015625,0.000248015873015872,0,0,0.03125,0.0481150793650794,0,0,0,0.0151289682539683,0.0476190476190476,0,0.0319940476190476,0,0.015625,0.0491071428571428,0.015625,0.0186011904761905,0.0166170634920635,0.0158730158730159,0.0163690476190476,0.0153769841269841,0.0161210317460317,0.0158730158730159,0.155683654890213,0.850415343293782,0.586491910676781,"s"
"13",0.02,0,0.000769230769230769,0,0.0207692307692308,0,0.02,0,0.0207692307692308,0,0.0176923076923077,0.04,0.000769230769230769,0,0.0207692307692308,0,0,0.0192307692307692,0.02,0,0.0192307692307692,0.00153846153846154,0,0.0192307692307692,0,0.0215384615384615,0.0176923076923077,0.0384615384615385,0.02,0,0.0576923076923077,0.00384615384615385,0.0376923076923077,0.0223076923076923,0.0169230769230769,0.00153846153846154,0.000769230769230769,0.0846153846153846,0.0192307692307692,0.0569230769230769,0.156515307302891,0.833758021865091,0.620488425600309,"s"
"131",0,0,0.00104895104895105,0,0.0171328671328671,0,0,0.0181818181818182,0.00104895104895105,0.0181818181818182,0.0213286713286713,0.109090909090909,0.0192307692307692,0,0.0192307692307692,0,0,0.0171328671328671,0,0.0181818181818182,0.00104895104895105,0.0020979020979021,0,0.0192307692307692,0.0181818181818182,0.0202797202797203,0.015034965034965,0.0020979020979021,0.0363636363636364,0,0.0213286713286713,0.0311188811188811,0.0576923076923077,0.0213286713286713,0.0405594405594406,0.0384615384615385,0.0534965034965035,0.0244755244755245,0.0171328671328671,0.0587412587412587,0.181334752688618,0.734521892751275,0.538984049336314,"s"
"14",0.02,0,0.00181818181818182,0,0.00363636363636364,0,0.02,0.0181818181818182,0.0218181818181818,0.0181818181818182,0.00363636363636364,0.0690909090909091,0.02,0,0.04,0,0,0.0363636363636364,0.02,0.0181818181818182,0.0181818181818182,0.00363636363636364,0,0,0.0181818181818182,0.0418181818181818,0.0327272727272727,0.0363636363636364,0.0163636363636364,0,0.0363636363636364,0.0272727272727273,0.02,0.0436363636363636,0.0236363636363636,0.04,0.0527272727272727,0.109090909090909,0.0363636363636364,0.00181818181818182,0.195992916046718,0.736768094539177,0.44507309628096,"s"
"16",0.0161290322580645,0,0,0.0344827586206897,0.0517241379310345,0,0.0161290322580645,0.032258064516129,0.0183537263626251,0,0.0150166852057842,0.0183537263626251,0.0172413793103448,0,0.0139043381535039,0.00222469410456062,0.032258064516129,0.00111234705228031,0,0.0161290322580645,0.0183537263626251,0.0367074527252503,0.0161290322580645,0.0161290322580645,0,0.0150166852057842,0.00111234705228031,0.0161290322580645,0.0344827586206897,0,0.0183537263626251,0.0372636262513904,0.00222469410456062,0.0367074527252503,0.0461624026696329,0.00111234705228031,0.00444938820912125,0.010567296996663,0.00111234705228031,0.00111234705228031,0.131706306482817,0.884073823059186,0.513080131503561,"s"
"161",0,0,0.0163934426229508,0.0180893159977388,0.00254381006218202,0,0,0.0163934426229508,0.00169587337478801,0,0.0155455059355568,0.0344827586206897,0.0155455059355568,0.0163934426229508,0.0180893159977388,0.0344827586206897,0.0163934426229508,0.000847936687394007,0.0163934426229508,0,0.0344827586206897,0.0361786319954777,0.0163934426229508,0.0163934426229508,0,0.0483323911814585,0.0975127190503109,0.0327868852459016,0.0344827586206897,0,0.0180893159977388,0.0248728094968909,0.0146975692481628,0.00339174674957603,0.0146975692481628,0.0172413793103448,0.0197851893725269,0.0370265686828717,0.000847936687394007,0.0172413793103448,0.16050236756924,0.806118588336095,0.50330490594672,"s"
"17",0.0161290322580645,0,0.0163934426229508,0.0163934426229508,0.0491803278688525,0,0.0161290322580645,0.0158646218931782,0.0166578529878371,0,0.00052882072977261,0.0161290322580645,0.0327868852459016,0.0163934426229508,0.0319936541512427,0.032258064516129,0.0158646218931782,0.000264410364886305,0.0163934426229508,0.0161290322580645,0.0161290322580645,0.00052882072977261,0.000264410364886305,0.000264410364886305,0,0.0333157059756743,0.0986250661025912,0.0166578529878371,0,0,0.000264410364886305,0.0621364357482813,0.0169222633527234,0.0333157059756743,0.0314648334214701,0.0161290322580645,0.0153358011634056,0.0475938656795346,0.000264410364886305,0.0161290322580645,0.170580141350633,0.800269081073692,0.503329311370293,"s"
"19",0.0523182957393484,0.0516917293233083,0.0172305764411028,0,0.0350877192982456,0.0350877192982456,0,0.0178571428571429,0.0162907268170426,0,0.0366541353383459,0.0006265664160401,0,0,0.0006265664160401,0,0,0.0178571428571429,0.0535714285714286,0,0.0350877192982456,0.0357142857142857,0,0,0,0,0.0892857142857143,0.0175438596491228,0.0172305764411028,0,0.0006265664160401,0.0150375939849624,0.0178571428571429,0.0357142857142857,0.018796992481203,0.0178571428571429,0.0541979949874687,0.087406015037594,0.0175438596491228,0.00031328320802005,0.19428661711474,0.743847899097557,0.496038758696653,"s"
"191",0.0324395895398875,0.086395233366435,0.00264812975835816,0,0.0403839788149619,0.0350877192982456,0,0,0.0311155246607084,0,0.0228401191658391,0.0162197947699437,0,0,0.0162197947699437,0.0377358490566038,0,0,0.0188679245283019,0,0.0162197947699437,0.0754716981132075,0,0,0,0,0.0566037735849057,0.0175438596491228,0.0350877192982456,0,0.0162197947699437,0.1012909632572,0,0.0566037735849057,0.00397219463753724,0,0.0592519033432638,0.0486593843098312,0.0579278384640847,0.020191989407481,0.221964085638033,0.643713271047716,0.567353850673726,"s"
